year,global_exports_digital_services_usd_million
2005,1030020.641538132
2006,1199697.143574615
2007,1464944.734936724
2008,1628673.763109581
2009,1519277.159890088
2010,1615421.467060102
2011,1848632.285610286
2012,1908989.7382770958
2013,2047039.350925381
2014,2254708.443346985
2015,2184229.06963707
2016,2261985.1935654012
2017,2460410.149301779
2018,2712306.592366362
2019,2853836.676556064
2020,3253787.179356854
2021,3829681.059273153
2022,3997225.50322411
2023,4370555.3643358955
2024,4794314.751030731
